"state","State_name","Population","date","category","count","grade"
"MN","Minnesota ",5639632,2020-04-15,"posNeg",40242,"A"
"MO","Missouri ",6840439,2020-04-15,"posNeg",49012,"A"
"MS","Mississippi ",2976149,2020-04-15,"posNeg",38151,"A"
"MT","Montana ",1068778,2020-04-15,"posNeg",9583,"A"
"NC","North Carolina ",10488084,2020-04-15,"posNeg",67827,"A"
"ND","North Dakota *",762062,2020-04-15,"posNeg",11317,"B"
"NE","Nebraska ",1934408,2020-04-15,"posNeg",11729,"A"
"NH","New Hampshire *",1359711,2020-04-15,"posNeg",12166,"B"
"NJ","New Jersey ",8882190,2020-04-15,"posNeg",144021,"A"
"NM","New Mexico ",2096829,2020-04-15,"posNeg",32850,"A"
"NV","Nevada ",3080156,2020-04-15,"posNeg",27655,"A"
"NY","New York ",19453561,2020-04-15,"posNeg",526012,"A"
"OH","Ohio *",11689100,2020-04-15,"posNeg",71552,"B"
"OK","Oklahoma *",3956971,2020-04-15,"posNeg",29219,"B"
"OR","Oregon ",4217737,2020-04-15,"posNeg",33351,"A"
"PA","Pennsylvania ",12801989,2020-04-15,"posNeg",137584,"A"
"PR","Puerto Rico ",2933408,2020-04-15,"posNeg",7799,"A"
"RI","Rhode Island *",1059361,2020-04-15,"posNeg",25897,"B"
"SC","South Carolina *",5148714,2020-04-15,"posNeg",34733,"B"
"SD","South Dakota ",884659,2020-04-15,"posNeg",9859,"A"
"TN","Tennessee ",6829174,2020-04-15,"posNeg",80896,"A"
"TX","Texas ",28995881,2020-04-15,"posNeg",151810,"A"
"UT","Utah ",3205958,2020-04-15,"posNeg",47614,"A"
"VA","Virginia ",8535519,2020-04-15,"posNeg",44169,"A"
"VT","Vermont ",623989,2020-04-15,"posNeg",11081,"A"
"WI","Wisconsin ",5822434,2020-04-15,"posNeg",43047,"A"
"WV","West Virginia *",1792147,2020-04-15,"posNeg",17656,"B"
"WY","Wyoming ",578759,2020-04-15,"posNeg",6329,"A"
"AK","Alaska ",731545,2020-04-14,"posNeg",8348,"A"
"AL","Alabama *",4903185,2020-04-14,"posNeg",33117,"B"
"AR","Arkansas ",3017804,2020-04-14,"posNeg",21131,"A"
"AZ","Arizona *",7278717,2020-04-14,"posNeg",44096,"B"
"CA","California *",39512223,2020-04-14,"posNeg",202208,"B"
"CO","Colorado ",5758736,2020-04-14,"posNeg",38742,"A"
"CT","Connecticut ",3565287,2020-04-14,"posNeg",45841,"A"
"DC","District of Columbia ",705749,2020-04-14,"posNeg",11518,"A"
"DE","Delaware ",973764,2020-04-14,"posNeg",12304,"A"
"FL","Florida ",21477737,2020-04-14,"posNeg",203180,"A"
"GA","Georgia ",10617423,2020-04-14,"posNeg",61795,"A"
"HI","Hawaii ",1415872,2020-04-14,"posNeg",19420,"A"
"IA","Iowa ",3155070,2020-04-14,"posNeg",18885,"A"
"ID","Idaho ",1787065,2020-04-14,"posNeg",15114,"A"
"IL","Illinois ",16980127,2020-04-14,"posNeg",110616,"A"
"IN","Indiana *",6732219,2020-04-14,"posNeg",46017,"B"
"KS","Kansas *",2913314,2020-04-14,"posNeg",14147,"B"
"KY","Kentucky ",4467673,2020-04-14,"posNeg",26683,"A"
"LA","Louisiana ",4648794,2020-04-14,"posNeg",118422,"A"
"MA","Massachusetts *",6892503,2020-04-14,"posNeg",126551,"B"
"MD","Maryland ",6045680,2020-04-14,"posNeg",53733,"A"
"ME","Maine ",1344212,2020-04-14,"posNeg",12342,"A"
"MI","Michigan *",9986857,2020-04-14,"posNeg",86226,"B"
"MN","Minnesota ",5639632,2020-04-14,"posNeg",39241,"A"
"MO","Missouri ",6840439,2020-04-14,"posNeg",47978,"A"
"MS","Mississippi ",2976149,2020-04-14,"posNeg",37878,"A"
"MT","Montana ",1068778,2020-04-14,"posNeg",9234,"A"
"NC","North Carolina ",10488084,2020-04-14,"posNeg",65039,"A"
"ND","North Dakota *",762062,2020-04-14,"posNeg",10916,"B"
"NE","Nebraska ",1934408,2020-04-14,"posNeg",11357,"A"
"NH","New Hampshire *",1359711,2020-04-14,"posNeg",11610,"B"
"NJ","New Jersey ",8882190,2020-04-14,"posNeg",139774,"A"
"NM","New Mexico ",2096829,2020-04-14,"posNeg",31970,"A"
"NV","Nevada ",3080156,2020-04-14,"posNeg",26661,"A"
"NY","New York ",19453561,2020-04-14,"posNeg",499143,"A"
"OH","Ohio *",11689100,2020-04-14,"posNeg",67874,"B"
"OK","Oklahoma *",3956971,2020-04-14,"posNeg",28269,"B"
"OR","Oregon ",4217737,2020-04-14,"posNeg",32363,"A"
"PA","Pennsylvania ",12801989,2020-04-14,"posNeg",133631,"A"
"PR","Puerto Rico ",2933408,2020-04-14,"posNeg",7207,"A"
"RI","Rhode Island *",1059361,2020-04-14,"posNeg",22900,"B"
"SC","South Carolina *",5148714,2020-04-14,"posNeg",33872,"B"
"SD","South Dakota ",884659,2020-04-14,"posNeg",9296,"A"
"TN","Tennessee ",6829174,2020-04-14,"posNeg",78831,"A"
"TX","Texas ",28995881,2020-04-14,"posNeg",146467,"A"
"UT","Utah ",3205958,2020-04-14,"posNeg",46476,"A"
"VA","Virginia ",8535519,2020-04-14,"posNeg",42763,"A"
"VT","Vermont ",623989,2020-04-14,"posNeg",10585,"A"
"WI","Wisconsin ",5822434,2020-04-14,"posNeg",41552,"A"
"WV","West Virginia *",1792147,2020-04-14,"posNeg",17038,"B"
"WY","Wyoming ",578759,2020-04-14,"posNeg",5964,"A"
"AK","Alaska ",731545,2020-04-13,"posNeg",7830,"A"
"AL","Alabama *",4903185,2020-04-13,"posNeg",29182,"B"
"AR","Arkansas ",3017804,2020-04-13,"posNeg",20804,"A"
"AZ","Arizona *",7278717,2020-04-13,"posNeg",43347,"B"
"CA","California *",39512223,2020-04-13,"posNeg",190882,"B"
"CO","Colorado ",5758736,2020-04-13,"posNeg",37534,"A"
"CT","Connecticut ",3565287,2020-04-13,"posNeg",44309,"A"
"DC","District of Columbia ",705749,2020-04-13,"posNeg",10934,"A"
"DE","Delaware ",973764,2020-04-13,"posNeg",11820,"A"
"FL","Florida ",21477737,2020-04-13,"posNeg",196207,"A"
"GA","Georgia ",10617423,2020-04-13,"posNeg",57021,"A"
"HI","Hawaii ",1415872,2020-04-13,"posNeg",18844,"A"
"IA","Iowa ",3155070,2020-04-13,"posNeg",18696,"A"
"ID","Idaho ",1787065,2020-04-13,"posNeg",14881,"A"
"IL","Illinois ",16980127,2020-04-13,"posNeg",105768,"A"
"IN","Indiana *",6732219,2020-04-13,"posNeg",44539,"B"
"KS","Kansas *",2913314,2020-04-13,"posNeg",13864,"B"
"KY","Kentucky ",4467673,2020-04-13,"posNeg",25866,"A"
"LA","Louisiana ",4648794,2020-04-13,"posNeg",108091,"A"
"MA","Massachusetts *",6892503,2020-04-13,"posNeg",122049,"B"
"MD","Maryland ",6045680,2020-04-13,"posNeg",51751,"A"
"ME","Maine ",1344212,2020-04-13,"posNeg",12306,"A"
"MI","Michigan *",9986857,2020-04-13,"posNeg",82644,"B"
"MN","Minnesota ",5639632,2020-04-13,"posNeg",38427,"A"
"MO","Missouri ",6840439,2020-04-13,"posNeg",45428,"A"
"MS","Mississippi ",2976149,2020-04-13,"posNeg",30984,"A"
"MT","Montana ",1068778,2020-04-13,"posNeg",9098,"A"
"NC","North Carolina ",10488084,2020-04-13,"posNeg",63388,"A"
"ND","North Dakota *",762062,2020-04-13,"posNeg",10781,"B"
"NE","Nebraska ",1934408,2020-04-13,"posNeg",10972,"A"
"NH","New Hampshire *",1359711,2020-04-13,"posNeg",11207,"B"
"NJ","New Jersey ",8882190,2020-04-13,"posNeg",129469,"A"
"NM","New Mexico ",2096829,2020-04-13,"posNeg",30515,"A"
"NV","Nevada ",3080156,2020-04-13,"posNeg",25464,"A"
"NY","New York ",19453561,2020-04-13,"posNeg",478357,"A"
"OH","Ohio *",11689100,2020-04-13,"posNeg",65112,"B"
"OK","Oklahoma *",3956971,2020-04-13,"posNeg",22859,"B"
"OR","Oregon ",4217737,2020-04-13,"posNeg",31121,"A"
"PA","Pennsylvania ",12801989,2020-04-13,"posNeg",129792,"A"
"PR","Puerto Rico ",2933408,2020-04-13,"posNeg",6863,"A"
"RI","Rhode Island *",1059361,2020-04-13,"posNeg",20661,"B"
"SC","South Carolina *",5148714,2020-04-13,"posNeg",31425,"B"
"SD","South Dakota ",884659,2020-04-13,"posNeg",9002,"A"
"TN","Tennessee ",6829174,2020-04-13,"posNeg",76195,"A"
"TX","Texas ",28995881,2020-04-13,"posNeg",133226,"A"
"UT","Utah ",3205958,2020-04-13,"posNeg",45787,"A"
"VA","Virginia ",8535519,2020-04-13,"posNeg",41401,"A"
"VT","Vermont ",623989,2020-04-13,"posNeg",10366,"A"
"WI","Wisconsin ",5822434,2020-04-13,"posNeg",40197,"A"
"WV","West Virginia *",1792147,2020-04-13,"posNeg",16655,"B"
"WY","Wyoming ",578759,2020-04-13,"posNeg",5964,"A"
"AK","Alaska ",731545,2020-04-12,"posNeg",8038,"A"
